,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-15-bank-st-meadowbank-nsw-2114-13093879,"8/15 Bank St, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 2008 60m2 1171m2 Residential - A 8/SP11025 ,15 Oct 2018 Sold ,1171m2,04 Aug 1989 Sold $127k,,60m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2007-11-angas-st-meadowbank-nsw-2114-19140159,"2007/11 Angas St, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Unit 2014 6528m2 Residential - A 64/SP91188 ,09 Oct 2018 Sold $818k,6528m2,24 Apr 2015 Sold $650k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/31-25-angas-st-meadowbank-nsw-2114-14103316,"31/25 Angas St, Meadowbank",3,2,1,$900k,$1.00M,$650/w,$750/w,Unit 2006 117m2 10526m2 Residential - A 64/SP76502 ,08 Oct 2018 Sold $972k,10526m2,,,117m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/40-2-underdale-lane-meadowbank-nsw-2114-10223521,"40/2 Underdale Lane, Meadowbank",2,1,1,$639k,$781k,,,Apartment 2009 72m2 468m2 Residential - A 1/DP958444 ,05 Oct 2018 Sold ,468m2,07 Sep 2018 Listed for Rent $625 to       $650 Per Week,29 Jun 2018 Listed for Sale RECENT SALES,72m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1005-13-angas-st-meadowbank-nsw-2114-19140416,"1005/13 Angas St, Meadowbank",2,2,1,$750k,$800k,$650/w,$750/w,Unit 2015 86m2 6528m2 Residential - A 4/SP91188 ,28 Sep 2018 Sold $813k,6528m2,24 Apr 2015 Sold $645k,,86m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/14-53-constitution-rd-meadowbank-nsw-2114-4303342,"14/53 Constitution Rd, Meadowbank",4,1,2,$600k,$650k,$350/w,$425/w,Unit 1970 235m2 1323m2 Residential - A 14/SP6291 ,26 Sep 2018 Sold ,1323m2,21 Jan 2004 Sold $300k,16 Mar 1998 Sold $155k,235m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/60-15--17-angas-st-meadowbank-nsw-2114-20684674,"60/15-17 Angas St, Meadowbank",-,-,-,$650k,$700k,$425/w,$500/w,Unit ,25 Sep 2018 Sold $737k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-54-meadow-cres-meadowbank-nsw-2114-11238093,"4/54 Meadow Cres, Meadowbank",1,1,1,$400k,$450k,$300/w,$350/w,Unit 1967 183m2 1724m2 Residential - A 4/SP2888 ,23 Oct 2018 Listed for Rent $360 per week,1724m2,22 Sep 2018 Sold $402k,"23 Aug 2018 Listed for Sale $390,000 - $430,000",183m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/17-12-meadow-cres-meadowbank-nsw-2114-3409695,"17/12 Meadow Cres, Meadowbank",2,1,1,$600k,$650k,$350/w,$425/w,Unit 1965 72m2 1865m2 Residential - A 17/SP5184 ,21 Sep 2018 Sold $670k,1865m2,19 Jul 2007 Sold $336k,02 Oct 1998 Sold $195k,72m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/37-21-angas-st-meadowbank-nsw-2114-9162107,"37/21 Angas St, Meadowbank",2,2,1,$800k,$900k,$575/w,$650/w,Unit 2007 97m2 1160m2 Residential - A 37/SP78741 ,21 Sep 2018 Sold $900k,1160m2,28 Mar 2011 Sold $535k,,97m2
