,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/20-plymouth-ave-north-rocks-nsw-2151-13307644,"20 Plymouth Ave, North Rocks",4,3,2,695m2,$1.50M,$1.60M,$425/w,$500/w,House 1980 253m2 695m2 Residential - A 2/236711 ,12 Dec 2016 Sold $1.50M,09 Apr 1998 Sold $105k,06 Oct 1987 Sold $165k,253m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/10-stirling-ave-north-rocks-nsw-2151-12920440,"10 Stirling Ave, North Rocks",4,2,2,695m2,$1.20M,$1.30M,$650/w,$750/w,House 1970 175m2 695m2 Residence Residential - A 65/228284 ,07 Feb 2017 Rented $650,17 Jan 2017 Listed for Rent $680PW,09 Dec 2016 Sold $1.15M,175m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/18-bray-ct-north-rocks-nsw-2151-13618188,"18 Bray Ct, North Rocks",5,3,2,720m2,$1.40M,$1.50M,$650/w,$750/w,House 1960 260m2 720m2 Residential - A 68/237769 ,09 Dec 2016 Sold $1.38M,20 Oct 2016 Listed for Sale SOLD,,260m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/27-tallwood-dr-north-rocks-nsw-2151-13106350,"27 Tallwood Dr, North Rocks",3,2,1,695m2,$1.10M,$1.20M,$575/w,$650/w,House 1970 138m2 695m2 Residential - A 39/235648 ,02 Dec 2016 Sold $1.12M,"10 Aug 2016 Listed for Sale $1,150,000",,138m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/36-bray-ct-north-rocks-nsw-2151-13028722,"36 Bray Ct, North Rocks",4,2,2,714m2,$1.20M,$1.30M,$650/w,$750/w,House 1979 714m2 Residential - A 41/238716 ,23 Nov 2016 Sold $1.21M,26 Sep 2016 Listed for Sale Auction Onsite Saturday 15th October,,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/186-north-rocks-rd-north-rocks-nsw-2151-13274958,"186 North Rocks Rd, North Rocks",4,1,2,695m2,$1.00M,$1.10M,$425/w,$500/w,House 1970 153m2 695m2 Residential - A 19/209263 ,21 Nov 2016 Sold $1.18M,15 Jun 2015 Sold $942k,07 Aug 2014 Sold $770k,153m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/25-panaview-cres-north-rocks-nsw-2151-12454062,"25 Panaview Cres, North Rocks",4,2,2,695m2,$1.20M,$1.30M,$425/w,$500/w,House 2016 695m2 Residential - A 32/242803 ,09 Nov 2016 Sold $1.20M,,,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/10-parkwood-pl-north-rocks-nsw-2151-12582848,"10 Parkwood Pl, North Rocks",4,3,2,703m2,$1.40M,$1.50M,$750/w,$850/w,House 1970 703m2 Residential - A 69/242803 ,07 Nov 2016 Sold $1.39M,27 Sep 2016 Rented $700,23 Aug 2016 Listed for Sale AUCTION,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/85-barclay-rd-north-rocks-nsw-2151-3659158,"85 Barclay Rd, North Rocks",4,1,1,776m2,$1.00M,$1.10M,$350/w,$425/w,House 1986 776m2 Residence Residential - A 206/248615 ,26 Oct 2016 Sold $820k,05 Nov 2002 Sold $427k,16 Nov 1987 Sold $139k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/9-jason-pl-north-rocks-nsw-2151-13830864,"9 Jason Pl, North Rocks",4,2,2,695m2,$1.30M,$1.40M,$650/w,$750/w,House 1979 695m2 Residential - A 12/DP223889 ,25 Oct 2016 Sold $1.40M,30 Mar 1979 Sold $58k,,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/3-woodbury-st-north-rocks-nsw-2151-13066587,"3 Woodbury St, North Rocks",4,1,2,695m2,$1.20M,$1.30M,$575/w,$650/w,House 1965 167m2 695m2 Residential - A 35/228542 ,24 Oct 2016 Sold $1.35M,15 Dec 1989 Sold $190k,,167m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/37-northam-dr-north-rocks-nsw-2151-12088295,"37 Northam Dr, North Rocks",4,3,2,695m2,$1.40M,$1.50M,$575/w,$650/w,House 1975 219m2 695m2 Residence Residential - A 87/242803 ,21 Oct 2016 Sold $1.33M,"15 Aug 2016 Listed for Sale GUIDE $1,200,000",07 Nov 2012 Sold $940k,219m2
