,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/153-boundary-rd-north-epping-nsw-2121-4637341,"153 Boundary Rd, North Epping",3,2,1,1018m2,$1.50M,$1.60M,$575/w,$650/w,House 2001 1018m2 Residence Residential - A 22/21076 ,03 Sep 2001 Sold $489k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/19-callistemon-cl-north-epping-nsw-2121-4648720,"19 Callistemon Cl, North Epping",3,1,2,740m2,$1.40M,$1.50M,$500/w,$575/w,House 1980 740m2 Residence Residential - A 16/246722 ,30 Jul 2001 Sold $510k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/27-woodvale-ave-north-epping-nsw-2121-4670419,"27 Woodvale Ave, North Epping",2,1,1,930m2,$1.40M,$1.50M,$500/w,$575/w,House 1980 930m2 Residence Residential - A 1/1024124 ,24 May 2001 Sold $287k,06 May 1980 Sold $50k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/23-newton-st-north-epping-nsw-2121-4655733,"23 Newton St, North Epping",3,1,2,765m2,$1.40M,$1.50M,$500/w,$575/w,House 1979 765m2 Residence Residential - A 1/DP25077 ,01 Jan 1970 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/19-valley-view-cres-north-epping-nsw-2121-4662930,"19 Valley View Cres, North Epping",4,2,2,753m2,$1.30M,$1.40M,$575/w,$650/w,House 1994 753m2 Residence Residential - A 27/27619 ,19 Jan 1994 Sold $283k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-marcella-st-north-epping-nsw-2121-4666004,"14 Marcella St, North Epping",3,1,1,1201m2,$1.60M,$1.80M,$500/w,$575/w,House 1993 1201m2 Residence Residential - A 7/DP29304 ,03 May 2001 Sold $421k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/18-howard-pl-north-epping-nsw-2121-4680430,"18 Howard Pl, North Epping",4,2,2,753m2,$1.50M,$1.60M,$750/w,$850/w,House 2001 753m2 Residence Residential - A 42/237964 ,,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/251a-malton-rd-north-epping-nsw-2121-4659989,"251a Malton Rd, North Epping",4,2,2,387m2,$1.35M,$2.03M,$575/w,$650/w,House 1977 387m2 Residence Residential - A 202/DP859320 ,,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-nirimba-ave-north-epping-nsw-2121-4684662,"14 Nirimba Ave, North Epping",3,2,2,746m2,$1.40M,$1.50M,$650/w,$750/w,House 1983 746m2 Residence Residential - A 27/201195 ,05 Apr 2001 Sold $485k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-bailey-cres-north-epping-nsw-2121-4722639,"14 Bailey Cres, North Epping",3,1,2,863m2,$1.40M,$1.50M,$575/w,$650/w,House 2001 863m2 Residence Residential - A 3/579110 ,28 Mar 2001 Sold $445k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/19-kirkwood-ave-north-epping-nsw-2121-4722642,"19 Kirkwood Ave, North Epping",4,2,2,1102m2,$1.60M,$1.80M,$575/w,$650/w,House 2001 1102m2 Residence Residential - A 30/29866 ,26 Mar 2001 Sold $455k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-cotton-st-north-epping-nsw-2121-8227052,"14 Cotton St, North Epping",3,1,1,784m2,$1.30M,$1.40M,$500/w,$575/w,House 1994 784m2 Null Residential - A 17/758784 ,28 Feb 2001 Sold $750k,28 Jun 1994 Sold $233k,,
